code,name,pick_price,signal,signal_strength,ma25,vol_ratio,price_to_ma25,risk_score,price_change_5d,price_change_20d,volume,turnover,date,reason_tag,note
000586,汇源通信,18.42,缩量回踩,3,18.765600000000003,2.13,-1.84,51.8,-5.05,24.46,23696700,0.12394319786599718,2026-04-24,缩量回踩,"MA25: 18.77, 量比: 2.13, 风险分: 51.8"
000030,富奥股份,5.12,缩量回踩,3,5.134399999999999,1.95,-0.28,50.3,-6.91,3.02,22414500,0.013414578115692643,2026-04-24,缩量回踩,"MA25: 5.13, 量比: 1.95, 风险分: 50.3"
000722,湖南发展,14.55,缩量回踩,3,14.2404,1.86,2.17,52.2,8.5,-20.4,50190496,0.10813228578780372,2026-04-24,缩量回踩,"MA25: 14.24, 量比: 1.86, 风险分: 52.2"
000037,深南电A,10.78,缩量回踩,3,10.738400000000002,1.83,0.39,50.4,-2.62,-10.09,40556699,0.11966870374760831,2026-04-24,缩量回踩,"MA25: 10.74, 量比: 1.83, 风险分: 50.4"
000919,金陵药业,7.36,缩量回踩,3,7.5736,1.74,-2.82,52.8,-7.54,5.44,28738111,0.04622008497051647,2026-04-24,缩量回踩,"MA25: 7.57, 量比: 1.74, 风险分: 52.8"
